,I1L,I1R,I2L,I2R,I3,I4,I5,I6,M1,M2L,M2R,M3L,M3R,M4,M5,MCL,MCR,MI,NSML,NSMR
I1L,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0
I1R,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
I2L,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1
I2R,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
I3,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1
I4,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1
I5,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1
I6,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
M1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0
M2L,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
M2R,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1
M3L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
M3R,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
M4,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0
M5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
MCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MI,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1
NSML,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1
NSMR,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0